City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Bottrop, kreisfreie Stadt",1355.0,5.0,0.0,2.0,3.0,2.0,7.0,10.0,22.0,42.0,58.0,74.0,84.0,168.0,197.0,278.0,403.0,2012
"Gelsenkirchen, kreisfreie Stadt",3361.0,9.0,11.0,8.0,11.0,10.0,19.0,29.0,70.0,131.0,152.0,190.0,207.0,391.0,481.0,603.0,1039.0,2012
"Münster, kreisfreie Stadt",2416.0,12.0,3.0,9.0,8.0,4.0,14.0,18.0,44.0,49.0,92.0,103.0,135.0,199.0,313.0,430.0,983.0,2012
"Borken, Kreis",3366.0,15.0,4.0,14.0,18.0,2.0,4.0,29.0,61.0,103.0,125.0,174.0,186.0,390.0,495.0,646.0,1100.0,2012
"Coesfeld, Kreis",2061.0,4.0,2.0,10.0,6.0,6.0,11.0,16.0,29.0,59.0,70.0,102.0,123.0,245.0,285.0,389.0,704.0,2012
"Recklinghausen, Kreis",7628.0,15.0,7.0,27.0,11.0,16.0,27.0,62.0,114.0,209.0,314.0,433.0,471.0,813.0,1104.0,1433.0,2572.0,2012
"Steinfurt, Kreis",4208.0,15.0,4.0,18.0,6.0,10.0,21.0,37.0,64.0,108.0,154.0,207.0,259.0,475.0,612.0,780.0,1438.0,2012
"Warendorf, Kreis",2722.0,8.0,2.0,15.0,12.0,8.0,9.0,27.0,32.0,81.0,111.0,148.0,162.0,291.0,381.0,509.0,926.0,2012
"Bielefeld, kreisfreie Stadt",3323.0,13.0,3.0,9.0,9.0,18.0,12.0,33.0,57.0,87.0,105.0,154.0,191.0,373.0,411.0,558.0,1290.0,2012
"Gütersloh, Kreis",3488.0,8.0,5.0,11.0,7.0,9.0,11.0,36.0,80.0,113.0,141.0,162.0,209.0,397.0,465.0,594.0,1240.0,2012
"Herford, Kreis",2947.0,12.0,4.0,3.0,6.0,12.0,12.0,19.0,53.0,75.0,102.0,131.0,180.0,277.0,404.0,540.0,1117.0,2012
"Höxter, Kreis",1727.0,3.0,3.0,8.0,8.0,2.0,6.0,21.0,24.0,45.0,58.0,77.0,72.0,197.0,260.0,310.0,633.0,2012
"Lippe, Kreis",3918.0,5.0,7.0,12.0,10.0,7.0,14.0,23.0,59.0,99.0,136.0,161.0,208.0,428.0,581.0,744.0,1424.0,2012
"Minden-Lübbecke, Kreis",3692.0,12.0,5.0,8.0,6.0,12.0,18.0,27.0,60.0,92.0,125.0,162.0,202.0,361.0,531.0,682.0,1389.0,2012
"Paderborn, Kreis",2589.0,11.0,6.0,12.0,6.0,11.0,13.0,28.0,43.0,71.0,99.0,125.0,133.0,273.0,334.0,449.0,975.0,2012
"Bochum, kreisfreie Stadt",4417.0,10.0,4.0,11.0,11.0,7.0,18.0,42.0,73.0,130.0,188.0,239.0,258.0,470.0,618.0,846.0,1492.0,2012
"Dortmund, kreisfreie Stadt",6702.0,17.0,18.0,14.0,14.0,18.0,21.0,68.0,129.0,203.0,308.0,393.0,450.0,737.0,978.0,1215.0,2119.0,2012
"Hagen, kreisfreie Stadt",2398.0,8.0,3.0,6.0,4.0,7.0,7.0,18.0,35.0,65.0,104.0,136.0,159.0,279.0,370.0,404.0,793.0,2012
"Hamm, kreisfreie Stadt",1998.0,5.0,7.0,10.0,5.0,4.0,3.0,27.0,32.0,56.0,61.0,104.0,112.0,234.0,298.0,359.0,681.0,2012
"Herne, kreisfreie Stadt",2160.0,3.0,1.0,8.0,2.0,9.0,8.0,24.0,39.0,63.0,92.0,133.0,126.0,237.0,289.0,414.0,712.0,2012
Ennepe-Ruhr-Kreis,4152.0,12.0,6.0,6.0,7.0,12.0,12.0,34.0,62.0,107.0,154.0,195.0,238.0,478.0,593.0,766.0,1470.0,2012
Hochsauerlandkreis,2928.0,10.0,5.0,17.0,6.0,6.0,10.0,18.0,42.0,84.0,98.0,117.0,172.0,329.0,406.0,541.0,1067.0,2012
Märkischer Kreis,4880.0,14.0,10.0,9.0,13.0,18.0,13.0,37.0,79.0,144.0,173.0,260.0,327.0,628.0,706.0,863.0,1586.0,2012
"Olpe, Kreis",1417.0,3.0,1.0,3.0,2.0,3.0,1.0,18.0,30.0,35.0,49.0,69.0,82.0,171.0,200.0,266.0,484.0,2012
"Siegen-Wittgenstein, Kreis",3205.0,9.0,2.0,8.0,8.0,9.0,6.0,30.0,58.0,111.0,115.0,163.0,177.0,354.0,453.0,603.0,1099.0,2012
"Soest, Kreis",3314.0,10.0,6.0,12.0,10.0,7.0,11.0,30.0,53.0,86.0,135.0,192.0,195.0,379.0,464.0,594.0,1130.0,2012
"Unna, Kreis",4782.0,11.0,7.0,12.0,3.0,13.0,21.0,27.0,77.0,128.0,207.0,248.0,293.0,534.0,725.0,877.0,1599.0,2012
"Darmstadt, kreisfreie Stadt",1425.0,4.0,2.0,1.0,2.0,4.0,5.0,13.0,21.0,47.0,50.0,76.0,90.0,146.0,160.0,242.0,562.0,2012
"Frankfurt am Main, kreisfreie Stadt",5801.0,19.0,12.0,13.0,7.0,22.0,36.0,68.0,122.0,142.0,255.0,330.0,447.0,665.0,743.0,897.0,2023.0,2012
"Offenbach am Main, kreisfreie Stadt",1143.0,10.0,1.0,4.0,2.0,6.0,5.0,13.0,24.0,44.0,44.0,68.0,89.0,131.0,124.0,215.0,363.0,2012
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",2663.0,10.0,6.0,3.0,6.0,4.0,11.0,15.0,47.0,69.0,92.0,143.0,155.0,269.0,359.0,439.0,1035.0,2012
"Bergstraße, Landkreis",2846.0,9.0,5.0,6.0,10.0,7.0,11.0,24.0,52.0,67.0,91.0,162.0,174.0,311.0,397.0,504.0,1016.0,2012
"Darmstadt-Dieburg, Landkreis",2594.0,9.0,4.0,5.0,4.0,3.0,11.0,13.0,52.0,71.0,96.0,138.0,167.0,301.0,386.0,446.0,888.0,2012
"Groß-Gerau, Landkreis",2457.0,6.0,6.0,7.0,3.0,7.0,5.0,18.0,37.0,68.0,66.0,135.0,169.0,301.0,344.0,437.0,848.0,2012
Hochtaunuskreis,2298.0,5.0,0.0,7.0,5.0,4.0,1.0,18.0,28.0,41.0,63.0,104.0,133.0,245.0,258.0,436.0,950.0,2012
Main-Kinzig-Kreis,4135.0,9.0,2.0,10.0,12.0,6.0,16.0,33.0,60.0,107.0,156.0,222.0,243.0,436.0,585.0,730.0,1508.0,2012
Main-Taunus-Kreis,2066.0,1.0,4.0,5.0,5.0,9.0,8.0,13.0,43.0,33.0,67.0,103.0,133.0,233.0,326.0,352.0,731.0,2012
Odenwaldkreis,1148.0,0.0,2.0,3.0,2.0,4.0,3.0,5.0,17.0,26.0,36.0,61.0,66.0,112.0,138.0,227.0,446.0,2012
"Offenbach, Landkreis",3039.0,9.0,8.0,12.0,3.0,8.0,14.0,26.0,49.0,72.0,106.0,181.0,202.0,322.0,405.0,559.0,1063.0,2012
Rheingau-Taunus-Kreis,1881.0,2.0,2.0,5.0,1.0,3.0,4.0,18.0,25.0,47.0,67.0,92.0,118.0,195.0,269.0,315.0,718.0,2012
Wetteraukreis,3095.0,7.0,2.0,12.0,3.0,14.0,13.0,36.0,56.0,86.0,120.0,148.0,166.0,320.0,387.0,577.0,1148.0,2012
"Gießen, Landkreis",2535.0,10.0,2.0,9.0,12.0,8.0,16.0,32.0,43.0,68.0,92.0,123.0,148.0,252.0,316.0,456.0,948.0,2012
Lahn-Dill-Kreis,2769.0,5.0,2.0,9.0,5.0,7.0,9.0,17.0,50.0,84.0,102.0,127.0,164.0,315.0,389.0,495.0,989.0,2012
"Limburg-Weilburg, Landkreis",1917.0,3.0,2.0,7.0,4.0,2.0,7.0,24.0,29.0,45.0,68.0,104.0,111.0,213.0,273.0,348.0,677.0,2012
"Marburg-Biedenkopf, Landkreis",2460.0,5.0,1.0,11.0,10.0,11.0,16.0,26.0,42.0,74.0,79.0,117.0,126.0,270.0,318.0,469.0,885.0,2012
