City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
Vogelsbergkreis,1317.0,1.0,1.0,5.0,1.0,2.0,5.0,5.0,25.0,36.0,44.0,77.0,61.0,131.0,157.0,263.0,503.0,2012
"Kassel, kreisfreie Stadt",2098.0,6.0,1.0,4.0,7.0,5.0,6.0,22.0,34.0,65.0,78.0,115.0,139.0,237.0,266.0,315.0,798.0,2012
"Fulda, Landkreis",2262.0,2.0,3.0,12.0,6.0,14.0,7.0,14.0,31.0,48.0,83.0,98.0,118.0,222.0,278.0,430.0,896.0,2012
"Hersfeld-Rotenburg, Landkreis",1478.0,6.0,0.0,4.0,3.0,4.0,6.0,8.0,23.0,31.0,51.0,74.0,82.0,151.0,198.0,272.0,565.0,2012
"Kassel, Landkreis",2819.0,5.0,1.0,3.0,1.0,6.0,9.0,18.0,59.0,70.0,101.0,135.0,176.0,322.0,367.0,524.0,1022.0,2012
Schwalm-Eder-Kreis,2223.0,8.0,1.0,9.0,4.0,4.0,6.0,17.0,34.0,51.0,84.0,120.0,127.0,257.0,286.0,430.0,785.0,2012
"Waldeck-Frankenberg, Landkreis",1973.0,4.0,5.0,5.0,13.0,6.0,10.0,12.0,29.0,52.0,66.0,91.0,95.0,193.0,247.0,354.0,791.0,2012
Werra-Meißner-Kreis,1415.0,2.0,2.0,4.0,3.0,1.0,3.0,11.0,22.0,38.0,56.0,61.0,103.0,138.0,186.0,264.0,521.0,2012
"Koblenz, kreisfreie Stadt",1250.0,3.0,2.0,1.0,2.0,1.0,5.0,8.0,16.0,33.0,41.0,70.0,81.0,120.0,174.0,218.0,475.0,2012
"Ahrweiler, Landkreis",1577.0,4.0,1.0,8.0,2.0,3.0,3.0,15.0,23.0,23.0,52.0,63.0,82.0,181.0,209.0,280.0,628.0,2012
"Altenkirchen (Westerwald), Landkreis",1596.0,9.0,3.0,5.0,3.0,7.0,2.0,13.0,24.0,38.0,54.0,84.0,98.0,169.0,211.0,302.0,574.0,2012
"Bad Kreuznach, Landkreis",1852.0,4.0,2.0,10.0,5.0,5.0,5.0,13.0,38.0,40.0,60.0,108.0,104.0,215.0,240.0,325.0,678.0,2012
"Birkenfeld, Landkreis",1120.0,1.0,2.0,2.0,3.0,4.0,4.0,7.0,22.0,38.0,50.0,64.0,46.0,121.0,160.0,209.0,387.0,2012
"Cochem-Zell, Landkreis",826.0,0.0,3.0,4.0,1.0,2.0,5.0,4.0,9.0,19.0,26.0,39.0,31.0,81.0,110.0,182.0,310.0,2012
"Mayen-Koblenz, Landkreis",2293.0,4.0,5.0,4.0,5.0,3.0,6.0,21.0,40.0,64.0,104.0,116.0,125.0,271.0,327.0,445.0,753.0,2012
"Neuwied, Landkreis",2095.0,11.0,1.0,4.0,6.0,4.0,8.0,18.0,21.0,60.0,85.0,104.0,115.0,203.0,301.0,392.0,762.0,2012
Rhein-Hunsrück-Kreis,1201.0,1.0,1.0,5.0,6.0,1.0,2.0,9.0,18.0,29.0,45.0,57.0,70.0,136.0,166.0,203.0,452.0,2012
Rhein-Lahn-Kreis,1470.0,2.0,4.0,4.0,0.0,8.0,2.0,9.0,25.0,43.0,45.0,78.0,83.0,155.0,213.0,241.0,558.0,2012
Westerwaldkreis,2212.0,5.0,1.0,9.0,2.0,10.0,6.0,23.0,28.0,53.0,75.0,125.0,111.0,255.0,323.0,426.0,760.0,2012
"Trier, kreisfreie Stadt",1027.0,1.0,1.0,8.0,4.0,3.0,2.0,8.0,15.0,32.0,43.0,57.0,52.0,93.0,109.0,194.0,405.0,2012
"Bernkastel-Wittlich, Landkreis",1208.0,7.0,3.0,2.0,2.0,2.0,4.0,7.0,18.0,28.0,36.0,68.0,68.0,131.0,165.0,211.0,456.0,2012
Eifelkreis Bitburg-Prüm,1063.0,2.0,2.0,4.0,4.0,0.0,3.0,5.0,17.0,37.0,46.0,42.0,51.0,106.0,145.0,197.0,402.0,2012
"Vulkaneifel, Landkreis",768.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,10.0,16.0,20.0,18.0,41.0,87.0,99.0,165.0,301.0,2012
"Trier-Saarburg, Landkreis",1410.0,6.0,0.0,2.0,3.0,2.0,3.0,11.0,17.0,37.0,54.0,63.0,70.0,160.0,199.0,270.0,513.0,2012
"Frankenthal (Pfalz), kreisfreie Stadt",509.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,11.0,15.0,15.0,14.0,31.0,58.0,67.0,108.0,177.0,2012
"Kaiserslautern, kreisfreie Stadt",1125.0,2.0,2.0,8.0,1.0,4.0,6.0,15.0,21.0,26.0,52.0,57.0,74.0,115.0,165.0,171.0,406.0,2012
"Landau in der Pfalz, kreisfreie Stadt",429.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,6.0,10.0,20.0,24.0,18.0,56.0,56.0,67.0,156.0,2012
"Ludwigshafen am Rhein, kreisfreie Stadt",1685.0,9.0,1.0,5.0,6.0,5.0,9.0,16.0,34.0,55.0,61.0,98.0,113.0,179.0,263.0,306.0,525.0,2012
"Mainz, kreisfreie Stadt",1825.0,12.0,1.0,5.0,6.0,7.0,12.0,18.0,26.0,43.0,60.0,81.0,115.0,201.0,210.0,315.0,713.0,2012
"Neustadt an der Weinstraße, kreisfreie Stadt",650.0,3.0,0.0,4.0,1.0,2.0,0.0,3.0,8.0,14.0,19.0,30.0,33.0,69.0,81.0,121.0,262.0,2012
"Pirmasens, kreisfreie Stadt",630.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,17.0,27.0,42.0,34.0,71.0,95.0,121.0,203.0,2012
"Speyer, kreisfreie Stadt",586.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,15.0,19.0,21.0,35.0,64.0,84.0,107.0,222.0,2012
"Worms, kreisfreie Stadt",899.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,14.0,20.0,25.0,43.0,52.0,103.0,143.0,164.0,324.0,2012
"Zweibrücken, kreisfreie Stadt",426.0,0.0,2.0,4.0,1.0,1.0,1.0,3.0,7.0,13.0,16.0,24.0,25.0,39.0,54.0,78.0,158.0,2012
"Alzey-Worms, Landkreis",1243.0,5.0,2.0,5.0,5.0,1.0,4.0,12.0,17.0,32.0,47.0,62.0,69.0,134.0,177.0,250.0,421.0,2012
"Bad Dürkheim, Landkreis",1561.0,2.0,2.0,5.0,3.0,4.0,7.0,10.0,20.0,50.0,53.0,99.0,82.0,171.0,220.0,282.0,551.0,2012
Donnersbergkreis,897.0,1.0,0.0,5.0,1.0,1.0,2.0,6.0,17.0,17.0,41.0,55.0,60.0,111.0,115.0,181.0,284.0,2012
"Germersheim, Landkreis",1183.0,5.0,1.0,4.0,3.0,3.0,6.0,13.0,14.0,35.0,46.0,62.0,73.0,135.0,191.0,218.0,374.0,2012
"Kaiserslautern, Landkreis",1164.0,0.0,2.0,1.0,2.0,1.0,1.0,7.0,18.0,41.0,61.0,66.0,62.0,112.0,179.0,213.0,398.0,2012
"Kusel, Landkreis",980.0,5.0,1.0,3.0,0.0,2.0,4.0,12.0,10.0,26.0,35.0,51.0,39.0,107.0,152.0,180.0,353.0,2012
"Südliche Weinstraße, Landkreis",1123.0,4.0,2.0,2.0,2.0,6.0,2.0,8.0,14.0,27.0,43.0,53.0,70.0,120.0,149.0,205.0,416.0,2012
Rhein-Pfalz-Kreis,1553.0,6.0,3.0,5.0,3.0,2.0,4.0,9.0,31.0,38.0,60.0,77.0,103.0,162.0,234.0,277.0,539.0,2012
"Mainz-Bingen, Landkreis",1766.0,5.0,2.0,5.0,5.0,5.0,4.0,13.0,26.0,48.0,66.0,106.0,105.0,177.0,240.0,329.0,630.0,2012
"Südwestpfalz, Landkreis",1202.0,2.0,0.0,5.0,3.0,0.0,4.0,7.0,15.0,34.0,47.0,43.0,68.0,124.0,203.0,252.0,395.0,2012
"Stuttgart, Landeshauptstadt, Stadtkreis",5117.0,19.0,7.0,18.0,10.0,19.0,26.0,38.0,82.0,147.0,170.0,262.0,353.0,534.0,639.0,779.0,2014.0,2012
"Böblingen, Landkreis",3118.0,13.0,1.0,11.0,3.0,10.0,14.0,31.0,48.0,82.0,100.0,130.0,188.0,334.0,400.0,582.0,1171.0,2012
"Esslingen, Landkreis",4661.0,15.0,5.0,9.0,16.0,10.0,12.0,30.0,82.0,126.0,137.0,192.0,270.0,511.0,620.0,867.0,1759.0,2012
"Göppingen, Landkreis",2447.0,7.0,4.0,7.0,5.0,2.0,5.0,19.0,34.0,56.0,69.0,112.0,141.0,245.0,339.0,457.0,945.0,2012
"Ludwigsburg, Landkreis",4528.0,16.0,5.0,15.0,9.0,14.0,24.0,47.0,73.0,122.0,131.0,205.0,295.0,531.0,596.0,833.0,1612.0,2012
"Rems-Murr-Kreis, Landkreis",3780.0,9.0,6.0,14.0,10.0,7.0,16.0,28.0,50.0,97.0,129.0,150.0,209.0,454.0,508.0,695.0,1398.0,2012
"Heilbronn, Universitätsstadt, Stadtkreis",1189.0,2.0,1.0,5.0,5.0,5.0,4.0,8.0,15.0,33.0,52.0,68.0,87.0,131.0,150.0,188.0,435.0,2012
"Heilbronn, Landkreis",3077.0,9.0,4.0,16.0,8.0,10.0,13.0,32.0,49.0,74.0,96.0,133.0,162.0,327.0,425.0,568.0,1151.0,2012
"Hohenlohekreis, Landkreis",1050.0,2.0,0.0,1.0,3.0,3.0,6.0,5.0,12.0,27.0,38.0,45.0,48.0,107.0,129.0,205.0,419.0,2012
"Schwäbisch Hall, Landkreis",1840.0,1.0,4.0,7.0,5.0,4.0,8.0,11.0,31.0,47.0,66.0,81.0,100.0,194.0,223.0,344.0,714.0,2012
"Main-Tauber-Kreis, Landkreis",1482.0,5.0,2.0,7.0,2.0,0.0,4.0,13.0,19.0,22.0,54.0,51.0,70.0,159.0,202.0,277.0,595.0,2012
"Heidenheim, Landkreis",1431.0,4.0,0.0,3.0,2.0,0.0,2.0,5.0,23.0,39.0,53.0,70.0,79.0,146.0,168.0,286.0,551.0,2012
"Ostalbkreis, Landkreis",3126.0,12.0,4.0,13.0,4.0,12.0,15.0,27.0,46.0,77.0,116.0,131.0,190.0,312.0,390.0,583.0,1194.0,2012
"Baden-Baden, Stadtkreis",750.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,18.0,13.0,35.0,34.0,65.0,104.0,115.0,349.0,2012
"Karlsruhe, Stadtkreis",2917.0,8.0,6.0,8.0,8.0,8.0,17.0,26.0,41.0,67.0,101.0,134.0,186.0,311.0,370.0,470.0,1156.0,2012
"Karlsruhe, Landkreis",4130.0,14.0,11.0,11.0,12.0,10.0,17.0,23.0,57.0,97.0,118.0,205.0,231.0,482.0,538.0,761.0,1543.0,2012
"Rastatt, Landkreis",2248.0,9.0,2.0,19.0,2.0,11.0,6.0,18.0,42.0,51.0,80.0,115.0,97.0,227.0,331.0,417.0,821.0,2012
"Heidelberg, Stadtkreis",1098.0,6.0,2.0,2.0,2.0,1.0,4.0,9.0,22.0,29.0,42.0,34.0,87.0,106.0,137.0,178.0,437.0,2012
"Mannheim, Stadtkreis",3063.0,14.0,5.0,12.0,6.0,12.0,18.0,33.0,59.0,84.0,112.0,164.0,212.0,348.0,394.0,548.0,1042.0,2012
"Neckar-Odenwald-Kreis, Landkreis",1572.0,4.0,1.0,5.0,3.0,6.0,4.0,9.0,26.0,45.0,45.0,83.0,87.0,158.0,214.0,302.0,580.0,2012
"Rhein-Neckar-Kreis, Landkreis",5134.0,10.0,3.0,18.0,8.0,14.0,21.0,42.0,90.0,113.0,170.0,238.0,304.0,572.0,710.0,954.0,1867.0,2012
"Pforzheim, Stadtkreis",1322.0,2.0,1.0,4.0,1.0,2.0,7.0,13.0,15.0,25.0,34.0,69.0,77.0,159.0,181.0,216.0,516.0,2012
"Calw, Landkreis",1428.0,4.0,2.0,6.0,6.0,6.0,7.0,11.0,24.0,25.0,62.0,82.0,76.0,144.0,207.0,262.0,504.0,2012
"Enzkreis, Landkreis",1719.0,6.0,2.0,4.0,1.0,4.0,7.0,12.0,25.0,42.0,43.0,75.0,98.0,207.0,228.0,331.0,634.0,2012
"Freudenstadt, Landkreis",1192.0,0.0,0.0,9.0,4.0,7.0,1.0,6.0,10.0,25.0,32.0,54.0,62.0,140.0,192.0,207.0,443.0,2012
"Freiburg im Breisgau, Stadtkreis",1768.0,9.0,0.0,7.0,8.0,9.0,13.0,18.0,24.0,50.0,62.0,75.0,123.0,182.0,179.0,274.0,735.0,2012
"Breisgau-Hochschwarzwald, Landkreis",2277.0,4.0,3.0,13.0,5.0,8.0,8.0,25.0,36.0,51.0,76.0,102.0,121.0,239.0,282.0,370.0,934.0,2012
"Emmendingen, Landkreis",1474.0,2.0,1.0,5.0,5.0,6.0,7.0,14.0,24.0,33.0,53.0,60.0,77.0,157.0,211.0,264.0,555.0,2012
"Ortenaukreis, Landkreis",4145.0,9.0,3.0,15.0,8.0,9.0,19.0,25.0,59.0,103.0,119.0,209.0,211.0,405.0,572.0,752.0,1627.0,2012
"Rottweil, Landkreis",1385.0,1.0,1.0,6.0,3.0,5.0,6.0,8.0,18.0,32.0,45.0,60.0,70.0,160.0,200.0,275.0,495.0,2012
"Schwarzwald-Baar-Kreis, Landkreis",2172.0,3.0,2.0,9.0,6.0,6.0,3.0,10.0,33.0,41.0,74.0,95.0,112.0,244.0,307.0,401.0,826.0,2012
"Tuttlingen, Landkreis",1337.0,4.0,3.0,7.0,6.0,4.0,7.0,11.0,25.0,40.0,45.0,68.0,68.0,138.0,199.0,254.0,458.0,2012
"Konstanz, Landkreis",2628.0,6.0,4.0,8.0,7.0,6.0,10.0,18.0,37.0,66.0,92.0,124.0,131.0,294.0,331.0,456.0,1038.0,2012
"Lörrach, Landkreis",1992.0,6.0,5.0,5.0,1.0,10.0,8.0,14.0,45.0,45.0,75.0,95.0,111.0,204.0,274.0,394.0,700.0,2012
"Waldshut, Landkreis",1543.0,5.0,0.0,5.0,4.0,4.0,4.0,11.0,23.0,30.0,57.0,66.0,90.0,156.0,201.0,249.0,638.0,2012
"Reutlingen, Landkreis",2635.0,12.0,0.0,9.0,8.0,11.0,10.0,14.0,37.0,73.0,87.0,135.0,147.0,270.0,381.0,464.0,977.0,2012
"Tübingen, Landkreis",1638.0,9.0,7.0,8.0,2.0,5.0,9.0,11.0,42.0,48.0,62.0,85.0,87.0,148.0,205.0,289.0,621.0,2012
"Zollernalbkreis, Landkreis",1859.0,6.0,4.0,6.0,3.0,7.0,12.0,17.0,32.0,45.0,70.0,82.0,101.0,202.0,246.0,363.0,663.0,2012
"Ulm, Stadtkreis",1162.0,0.0,2.0,6.0,3.0,5.0,8.0,7.0,25.0,24.0,37.0,46.0,71.0,116.0,126.0,193.0,493.0,2012
"Alb-Donau-Kreis, Landkreis",1746.0,5.0,3.0,9.0,4.0,7.0,6.0,21.0,29.0,36.0,54.0,66.0,89.0,170.0,245.0,311.0,691.0,2012
"Biberach, Landkreis",1676.0,4.0,2.0,12.0,4.0,4.0,8.0,18.0,30.0,38.0,44.0,84.0,77.0,150.0,241.0,308.0,652.0,2012
"Bodenseekreis, Landkreis",1936.0,6.0,0.0,3.0,4.0,5.0,8.0,14.0,29.0,40.0,48.0,78.0,137.0,204.0,231.0,296.0,833.0,2012
"Ravensburg, Landkreis",2527.0,8.0,1.0,14.0,6.0,7.0,9.0,23.0,41.0,60.0,88.0,128.0,121.0,258.0,345.0,467.0,951.0,2012
"Sigmaringen, Landkreis",1265.0,2.0,4.0,7.0,3.0,5.0,5.0,11.0,25.0,30.0,32.0,70.0,83.0,146.0,171.0,240.0,431.0,2012
Ingolstadt,1148.0,1.0,1.0,5.0,0.0,2.0,3.0,13.0,19.0,23.0,42.0,59.0,75.0,138.0,133.0,194.0,440.0,2012
"München, Landeshauptstadt",10846.0,27.0,12.0,42.0,37.0,40.0,71.0,117.0,202.0,301.0,415.0,579.0,819.0,1235.0,1367.0,1672.0,3910.0,2012
Rosenheim,525.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,12.0,12.0,17.0,27.0,48.0,60.0,57.0,79.0,200.0,2012
"Altötting, Landkreis",1175.0,4.0,2.0,10.0,6.0,1.0,11.0,9.0,15.0,31.0,36.0,74.0,74.0,128.0,151.0,214.0,409.0,2012
"Berchtesgadener Land, Landkreis",1191.0,0.0,1.0,7.0,2.0,5.0,3.0,15.0,17.0,30.0,42.0,40.0,78.0,114.0,134.0,189.0,514.0,2012
"Bad Tölz-Wolfratshausen, Landkreis",1206.0,5.0,0.0,5.0,1.0,5.0,6.0,10.0,18.0,29.0,41.0,59.0,73.0,125.0,128.0,210.0,491.0,2012
"Dachau, Landkreis",1234.0,3.0,3.0,5.0,5.0,4.0,8.0,16.0,19.0,28.0,40.0,49.0,77.0,126.0,141.0,221.0,489.0,2012
"Ebersberg, Landkreis",1098.0,7.0,2.0,7.0,4.0,2.0,4.0,11.0,11.0,22.0,34.0,46.0,74.0,112.0,149.0,193.0,420.0,2012
"Eichstätt, Landkreis",1014.0,4.0,2.0,3.0,3.0,1.0,3.0,13.0,20.0,34.0,27.0,32.0,56.0,121.0,152.0,166.0,377.0,2012
"Erding, Landkreis",1053.0,5.0,1.0,6.0,3.0,2.0,5.0,7.0,14.0,30.0,35.0,49.0,46.0,137.0,135.0,194.0,384.0,2012
"Freising, Landkreis",1288.0,6.0,2.0,5.0,2.0,7.0,14.0,15.0,18.0,36.0,43.0,72.0,80.0,157.0,172.0,230.0,429.0,2012
"Fürstenfeldbruck, Landkreis",1842.0,4.0,3.0,8.0,4.0,8.0,8.0,18.0,31.0,45.0,57.0,98.0,130.0,222.0,228.0,312.0,666.0,2012
"Garmisch-Partenkirchen, Landkreis",1015.0,2.0,1.0,1.0,3.0,4.0,4.0,10.0,15.0,20.0,28.0,47.0,56.0,123.0,117.0,159.0,425.0,2012
"Landsberg am Lech, Landkreis",991.0,4.0,0.0,4.0,1.0,4.0,5.0,11.0,9.0,24.0,26.0,41.0,54.0,106.0,115.0,168.0,419.0,2012
"Miesbach, Landkreis",1013.0,2.0,0.0,1.0,1.0,2.0,4.0,7.0,12.0,15.0,36.0,57.0,56.0,109.0,103.0,172.0,436.0,2012
"Mühldorf a.Inn, Landkreis",1223.0,1.0,3.0,2.0,1.0,12.0,6.0,5.0,24.0,43.0,36.0,63.0,84.0,113.0,184.0,214.0,432.0,2012
"München, Landkreis",2812.0,6.0,3.0,9.0,6.0,8.0,13.0,11.0,49.0,54.0,78.0,125.0,204.0,303.0,356.0,433.0,1154.0,2012
"Neuburg-Schrobenhausen, Landkreis",826.0,0.0,0.0,4.0,1.0,3.0,4.0,5.0,19.0,27.0,32.0,53.0,44.0,85.0,115.0,150.0,284.0,2012
"Pfaffenhofen a.d.Ilm, Landkreis",1084.0,1.0,1.0,7.0,2.0,2.0,3.0,10.0,22.0,32.0,45.0,54.0,69.0,117.0,130.0,216.0,373.0,2012
"Rosenheim, Landkreis",2400.0,4.0,5.0,14.0,3.0,3.0,9.0,12.0,34.0,58.0,76.0,135.0,149.0,220.0,278.0,376.0,1024.0,2012
"Starnberg, Landkreis",1207.0,2.0,2.0,2.0,1.0,1.0,4.0,6.0,20.0,23.0,26.0,48.0,67.0,124.0,132.0,211.0,538.0,2012
"Traunstein, Landkreis",1858.0,4.0,1.0,6.0,4.0,3.0,6.0,17.0,30.0,53.0,64.0,88.0,104.0,197.0,224.0,305.0,752.0,2012
"Weilheim-Schongau, Landkreis",1239.0,2.0,0.0,5.0,4.0,3.0,1.0,11.0,12.0,35.0,56.0,58.0,76.0,124.0,179.0,189.0,484.0,2012
Landshut,729.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,18.0,19.0,26.0,29.0,36.0,70.0,79.0,116.0,318.0,2012
Passau,543.0,1.0,0.0,3.0,0.0,3.0,3.0,2.0,8.0,15.0,17.0,12.0,41.0,62.0,49.0,85.0,242.0,2012
Straubing,572.0,4.0,0.0,4.0,5.0,5.0,3.0,4.0,4.0,16.0,18.0,31.0,36.0,70.0,75.0,101.0,196.0,2012
"Deggendorf, Landkreis",1233.0,4.0,4.0,7.0,0.0,1.0,5.0,12.0,12.0,36.0,46.0,69.0,63.0,115.0,170.0,244.0,445.0,2012
"Freyung-Grafenau, Landkreis",872.0,1.0,0.0,5.0,4.0,1.0,1.0,2.0,11.0,16.0,31.0,33.0,42.0,94.0,143.0,166.0,322.0,2012
"Kelheim, Landkreis",1057.0,3.0,1.0,3.0,7.0,6.0,2.0,11.0,17.0,29.0,29.0,55.0,57.0,124.0,169.0,168.0,376.0,2012
"Landshut, Landkreis",1284.0,5.0,1.0,6.0,5.0,2.0,8.0,9.0,22.0,35.0,51.0,78.0,81.0,144.0,164.0,221.0,452.0,2012
"Passau, Landkreis",1983.0,8.0,1.0,9.0,12.0,4.0,7.0,19.0,24.0,43.0,66.0,90.0,114.0,198.0,249.0,377.0,762.0,2012
"Regen, Landkreis",882.0,1.0,1.0,5.0,3.0,2.0,4.0,8.0,5.0,24.0,31.0,39.0,49.0,115.0,156.0,174.0,265.0,2012
"Rottal-Inn, Landkreis",1349.0,0.0,0.0,4.0,3.0,1.0,6.0,10.0,16.0,36.0,58.0,53.0,71.0,133.0,195.0,277.0,486.0,2012
"Straubing-Bogen, Landkreis",928.0,4.0,1.0,2.0,5.0,5.0,2.0,6.0,16.0,19.0,20.0,45.0,49.0,89.0,130.0,170.0,365.0,2012
"Dingolfing-Landau, Landkreis",925.0,2.0,0.0,2.0,3.0,2.0,1.0,11.0,9.0,30.0,23.0,37.0,51.0,101.0,139.0,189.0,325.0,2012
Amberg,521.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,10.0,10.0,28.0,32.0,24.0,50.0,72.0,98.0,186.0,2012
Regensburg,1320.0,3.0,0.0,5.0,4.0,12.0,7.0,16.0,27.0,39.0,41.0,65.0,86.0,129.0,149.0,212.0,525.0,2012
Weiden i.d.OPf.,541.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,7.0,17.0,19.0,23.0,30.0,65.0,71.0,97.0,200.0,2012
"Amberg-Sulzbach, Landkreis",1133.0,5.0,2.0,8.0,4.0,4.0,2.0,10.0,22.0,36.0,52.0,48.0,61.0,112.0,142.0,200.0,425.0,2012
"Cham, Landkreis",1394.0,1.0,1.0,10.0,3.0,4.0,10.0,8.0,20.0,32.0,52.0,66.0,76.0,158.0,194.0,257.0,502.0,2012
"Neumarkt i.d.OPf., Landkreis",1212.0,4.0,2.0,6.0,4.0,1.0,3.0,16.0,27.0,27.0,52.0,51.0,70.0,159.0,157.0,204.0,429.0,2012
"Neustadt a.d.Waldnaab, Landkreis",1067.0,1.0,2.0,3.0,4.0,2.0,2.0,11.0,20.0,31.0,47.0,60.0,55.0,118.0,170.0,225.0,316.0,2012
"Regensburg, Landkreis",1723.0,0.0,8.0,8.0,5.0,4.0,6.0,14.0,25.0,46.0,68.0,96.0,113.0,182.0,218.0,342.0,588.0,2012
"Schwandorf, Landkreis",1598.0,1.0,0.0,7.0,5.0,1.0,8.0,12.0,32.0,54.0,52.0,76.0,90.0,173.0,220.0,327.0,540.0,2012
"Tirschenreuth, Landkreis",918.0,0.0,0.0,7.0,0.0,8.0,2.0,4.0,13.0,17.0,26.0,52.0,57.0,95.0,138.0,176.0,323.0,2012
Bamberg,808.0,2.0,0.0,3.0,4.0,3.0,3.0,5.0,17.0,13.0,23.0,38.0,39.0,70.0,99.0,154.0,335.0,2012
Bayreuth,787.0,1.0,0.0,2.0,3.0,1.0,7.0,10.0,12.0,19.0,25.0,43.0,58.0,87.0,97.0,130.0,292.0,2012
Coburg,521.0,3.0,2.0,2.0,4.0,4.0,0.0,6.0,9.0,12.0,20.0,25.0,22.0,43.0,68.0,102.0,199.0,2012
Hof,645.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,7.0,14.0,19.0,33.0,36.0,72.0,99.0,107.0,246.0,2012
"Bamberg, Landkreis",1446.0,4.0,3.0,4.0,2.0,2.0,4.0,15.0,16.0,40.0,61.0,77.0,84.0,159.0,210.0,258.0,507.0,2012
"Bayreuth, Landkreis",1206.0,0.0,2.0,4.0,2.0,0.0,2.0,14.0,21.0,30.0,47.0,65.0,63.0,127.0,167.0,231.0,431.0,2012
"Coburg, Landkreis",1002.0,0.0,1.0,3.0,1.0,2.0,1.0,7.0,17.0,23.0,36.0,49.0,62.0,119.0,138.0,175.0,368.0,2012
"Forchheim, Landkreis",1151.0,8.0,4.0,6.0,1.0,1.0,0.0,14.0,19.0,44.0,46.0,44.0,75.0,127.0,177.0,182.0,403.0,2012
"Hof, Landkreis",1452.0,0.0,0.0,4.0,3.0,3.0,4.0,8.0,16.0,38.0,42.0,66.0,88.0,145.0,195.0,297.0,543.0,2012
"Kronach, Landkreis",828.0,1.0,1.0,4.0,0.0,3.0,3.0,5.0,11.0,22.0,41.0,45.0,42.0,105.0,127.0,157.0,261.0,2012
"Kulmbach, Landkreis",910.0,1.0,1.0,3.0,0.0,0.0,3.0,12.0,19.0,26.0,31.0,54.0,44.0,106.0,126.0,163.0,321.0,2012
"Lichtenfels, Landkreis",871.0,4.0,3.0,2.0,3.0,1.0,4.0,6.0,14.0,23.0,21.0,47.0,46.0,98.0,130.0,166.0,303.0,2012
"Wunsiedel i.Fichtelgebirge, Landkreis",1148.0,3.0,0.0,1.0,2.0,2.0,5.0,13.0,15.0,30.0,31.0,52.0,68.0,123.0,166.0,233.0,404.0,2012
Ansbach,503.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,14.0,15.0,23.0,31.0,50.0,63.0,74.0,218.0,2012
Erlangen,985.0,2.0,1.0,4.0,2.0,3.0,3.0,6.0,7.0,29.0,27.0,45.0,62.0,112.0,112.0,174.0,396.0,2012
Fürth,1220.0,2.0,2.0,4.0,2.0,4.0,8.0,11.0,24.0,36.0,47.0,58.0,100.0,117.0,179.0,205.0,421.0,2012
Nürnberg,5414.0,12.0,6.0,8.0,14.0,11.0,23.0,61.0,92.0,127.0,201.0,298.0,351.0,649.0,697.0,943.0,1921.0,2012
Schwabach,413.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,8.0,12.0,12.0,16.0,24.0,49.0,52.0,75.0,157.0,2012
"Ansbach, Landkreis",1866.0,6.0,3.0,9.0,4.0,6.0,6.0,15.0,40.0,54.0,69.0,104.0,81.0,193.0,260.0,325.0,691.0,2012
"Erlangen-Höchstadt, Landkreis",1191.0,0.0,2.0,7.0,1.0,3.0,4.0,18.0,17.0,40.0,46.0,66.0,79.0,124.0,158.0,207.0,419.0,2012
"Fürth, Landkreis",1125.0,5.0,4.0,2.0,5.0,5.0,2.0,6.0,11.0,24.0,39.0,55.0,69.0,110.0,167.0,202.0,419.0,2012
"Nürnberger Land, Landkreis",1829.0,1.0,1.0,7.0,3.0,7.0,5.0,13.0,31.0,53.0,83.0,106.0,109.0,222.0,261.0,327.0,600.0,2012
"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",1094.0,1.0,2.0,5.0,1.0,1.0,6.0,13.0,19.0,24.0,40.0,48.0,57.0,113.0,166.0,199.0,399.0,2012
"Roth, Landkreis",1248.0,1.0,0.0,4.0,3.0,5.0,4.0,3.0,22.0,39.0,46.0,59.0,88.0,147.0,182.0,234.0,411.0,2012
"Weißenburg-Gunzenhausen, Landkreis",1053.0,1.0,1.0,4.0,1.0,5.0,3.0,9.0,19.0,22.0,43.0,53.0,62.0,98.0,134.0,168.0,430.0,2012
Aschaffenburg,743.0,1.0,1.0,3.0,3.0,1.0,2.0,6.0,16.0,26.0,24.0,28.0,39.0,82.0,91.0,124.0,296.0,2012
